ID,actual_productivity
TEST_0000,0.5623783786161621
TEST_0001,0.6418176501981945
TEST_0002,0.5843917496141828
TEST_0003,0.576313170102964
TEST_0004,0.6727778121766675
TEST_0005,0.6683806571370212
TEST_0006,0.7653397979625671
TEST_0007,0.7270744236883608
TEST_0008,0.6847372299619512
TEST_0009,0.713364057076368
TEST_0010,0.7821030022396522
TEST_0011,0.7035972657193118
TEST_0012,0.7837663967777325
TEST_0013,0.7832983908568489
TEST_0014,0.7109877361155181
TEST_0015,0.7823429713502849
TEST_0016,0.7874055752186588
TEST_0017,0.7874033197684377
TEST_0018,0.7869962110035245
TEST_0019,0.782584453402026
TEST_0020,0.44474853845968254
TEST_0021,0.42371436588067213
TEST_0022,0.7247052990801198
TEST_0023,0.7245192582610085
TEST_0024,0.6396657401020568
TEST_0025,0.6131236553558368
TEST_0026,0.6534124038241171
TEST_0027,0.49871932611439623
TEST_0028,0.6674173533741414
TEST_0029,0.6484293834672537
TEST_0030,0.6603013653805587
TEST_0031,0.5907938270568914
TEST_0032,0.7636204315014694
TEST_0033,0.7899550249205075
TEST_0034,0.7482879976102543
TEST_0035,0.7730662274511311
TEST_0036,0.6367609155614983
TEST_0037,0.6923860610931263
TEST_0038,0.665464336998301
TEST_0039,0.7015244778590365
TEST_0040,0.5454836982185902
TEST_0041,0.6772116295618261
TEST_0042,0.6519127852487268
TEST_0043,0.5715641964213493
TEST_0044,0.6798878414391234
TEST_0045,0.7183731359607397
TEST_0046,0.6803833270693133
TEST_0047,0.7295888418814029
TEST_0048,0.4013117902809874
TEST_0049,0.4512118503180633
TEST_0050,0.47535307884158584
TEST_0051,0.475836873082154
TEST_0052,0.7310048933375778
TEST_0053,0.734991088457367
TEST_0054,0.771908498153392
TEST_0055,0.7297228055126999
TEST_0056,0.5394998417144101
TEST_0057,0.5024194130599982
TEST_0058,0.6040777563506421
TEST_0059,0.534904830215968
TEST_0060,0.7321582664831945
TEST_0061,0.7955692474645725
TEST_0062,0.781378625328404
TEST_0063,0.7606591682780687
TEST_0064,0.7334911409562939
TEST_0065,0.7527245365271591
TEST_0066,0.75184823434562
TEST_0067,0.7310369221984555
TEST_0068,0.6518123212652295
TEST_0069,0.705767624517101
TEST_0070,0.7110129028663814
TEST_0071,0.6776576641673044
TEST_0072,0.7833714908273741
TEST_0073,0.7299035614370734
TEST_0074,0.7152221758985712
TEST_0075,0.748230486476457
TEST_0076,0.6552936218157962
TEST_0077,0.6570092806121646
TEST_0078,0.6707343743553638
TEST_0079,0.7282981392394589
TEST_0080,0.6415422848522994
TEST_0081,0.5619264767871553
TEST_0082,0.5046352650966153
TEST_0083,0.7208755466231518
TEST_0084,0.7406020337076329
TEST_0085,0.7267274906798304
TEST_0086,0.7125656897481271
TEST_0087,0.743906822274748
TEST_0088,0.6885583912832516
TEST_0089,0.6079666318869095
TEST_0090,0.6455328698852352
TEST_0091,0.6023557362563801
TEST_0092,0.6903664787071842
TEST_0093,0.5825803804644025
TEST_0094,0.637500394194142
TEST_0095,0.5594064369338321
TEST_0096,0.8021042335063208
TEST_0097,0.7779627074814134
TEST_0098,0.7949772346396451
TEST_0099,0.7665819872484884
TEST_0100,0.8336072175818882
TEST_0101,0.8317731511636564
TEST_0102,0.8341111494722503
TEST_0103,0.7243135871200311
TEST_0104,0.45110080523241797
TEST_0105,0.5190573211305025
TEST_0106,0.45029826763860675
TEST_0107,0.440198796228661
